id,filename,slug,dup_size,title,desc,ctrl_line,winlose_line,lines,mechanic_tag,theme_tag,mech_guess,mech_confidence,mech_source,max_time,needed,nerf_count,finish_delay_ms,distinct_se,se_list,bgm_list,uses_melody,uses_tone,uses_feedback,fx_list,uses_sprite,uses_gradient,uses_best,uses_press_move,uses_touches,uses_input,how_to_play,text_literals,longest_literal,jp_in_literals,fake_hiscore,worldview,has_scanlines,has_snap,has_timebar,has_coin,has_attract,score_total,score_breakdown,validation_errors,top_hints
4,004-shooting-star.js,shooting-star,1,流れ星タップ,消える前につかまえる緊張感,流れ星をタップ,1回キャッチ  失敗: 12秒以内にキャッチできず,195,,,aim_shoot,high,override,12,1,1,1800,3,se_failure se_success se_tap,bgm_main,false,false,false,,false,false,false,false,false,false,TAP THE STAR,13,16,true,true,,true,true,true,true,true,71,20/10/15/6/15/5,0,game.feedback.good/bad で行動の正否を提示する; キャラ/モチーフを game.draw.sprite で描く; 背景に game.draw.gradient を使う(黒一色回避)
5,005-balance-tilt.js,balance-tilt,1,天秤バランス,傾く天秤を左右タップで水平に保つ緊張感,傾いた側と逆をタップして重さを足す,5秒間倒れずに生き延びる  失敗: 傾きが限界を超える,162,,,balance,high,override,5,,1,1800,3,se_failure se_success se_tap,bgm_main,false,false,false,,false,false,false,false,false,false,TAP THE RAISED SIDE,13,19,true,false,,true,true,true,true,true,69,20/10/15/9/10/5,0,game.feedback.good/bad で行動の正否を提示する; キャラ/モチーフを game.draw.sprite で描く; 背景に game.draw.gradient を使う(黒一色回避)
6,006-bubble-pop.js,bubble-pop,8,バブルポップ,水面に達する前に弾ける気持ちよさ,泡をタップして弾く,1個弾く  失敗: 1個でも水面に届く or 15秒,224,,,aim_shoot,high,override,15,1,2,1800,3,se_failure se_success se_tap,bgm_main,false,false,false,,false,false,false,false,false,false,TAP BUBBLES BEFORE THEY SURFACE,13,31,true,true,,true,true,true,true,true,71,20/10/15/6/15/5,0,game.feedback.good/bad で行動の正否を提示する; キャラ/モチーフを game.draw.sprite で描く; 背景に game.draw.gradient を使う(黒一色回避)
7,007-shadow-drop.js,shadow-drop,1,シャドウドロップ,影にぴったり重なったらタップ！精度の達成感,落ちてくるブロックが影と重なったらタップ,1回ぴったり合わせる  失敗: 3ミス or 20秒,175,,,timing_one_shot,high,override,20,1,2,1800,3,se_failure se_success se_tap,bgm_main,false,false,false,,false,false,false,false,false,false,TAP WHEN ALIGNED,15,16,true,false,工場のプレス成形ライン。落ちる部材を型(影)にぴたりと重ねる。,true,true,true,true,true,74,20/10/15/9/15/5,0,game.feedback.good/bad で行動の正否を提示する; キャラ/モチーフを game.draw.sprite で描く; 背景に game.draw.gradient を使う(黒一色回避)
8,008-pulse-tap.js,pulse-tap,1,心拍タップ,脈打つリズムの頂点でタップする心地よさ,円が最大に膨らんだ瞬間にタップ,1回正確にタップ  失敗: タイミングを外しすぎると×（3回）,153,,,timing_one_shot,high,override,25,1,1,1800,3,se_failure se_success se_tap,bgm_main,false,false,false,,false,false,false,false,false,false,TAP AT THE PEAK,15,16,true,false,,true,true,true,true,true,74,20/10/15/9/15/5,0,game.feedback.good/bad で行動の正否を提示する; キャラ/モチーフを game.draw.sprite で描く; 背景に game.draw.gradient を使う(黒一色回避)
9,009-gravity-flip.js,gravity-flip,12,重力反転,タップで上下を逆転させて壁をすり抜ける驚き,タップで重力を反転,1つのゲートをくぐり抜ける  失敗: 壁に当たる,170,,,camera_run,high,override,,1,2,1500,3,se_failure se_success se_tap,bgm_main,false,false,false,,false,false,false,false,false,false,TAP TO FLIP GRAVITY,13,19,true,false,,true,true,false,true,true,64,20/10/10/9/10/5,0,game.feedback.good/bad で行動の正否を提示する; キャラ/モチーフを game.draw.sprite で描く; 背景に game.draw.gradient を使う(黒一色回避)
10,010-crack-seal.js,crack-seal,1,ひびわれ封じ,じわじわ広がるひびを塞ぐ焦燥感,ひびの中心をタップして封じる,5秒耐える  失敗: ひびが端まで広がる,186,,,chase,high,override,5,,1,1800,3,se_failure se_success se_tap,bgm_main,false,false,false,,false,false,false,false,false,false,TAP CRACKS TO SEAL,14,18,true,false,水圧がかかるダムの壁。広がるひびを塞いで決壊を防ぐ。,true,true,true,true,true,69,20/10/15/9/10/5,0,game.feedback.good/bad で行動の正否を提示する; キャラ/モチーフを game.draw.sprite で描く; 背景に game.draw.gradient を使う(黒一色回避)
11,011-pendulum-strike.js,pendulum-strike,1,振り子ストライク,ちょうど真下に来た瞬間を狙う快感,振り子が中央ゾーンにいる間にタップ,1回ヒット  失敗: 3回ミス or 20秒,161,,,timing_one_shot,high,override,20,1,2,1800,3,se_failure se_success se_tap,bgm_main,false,false,false,,false,false,false,false,false,false,TAP AT THE CENTER,14,17,true,false,,true,true,true,true,true,74,20/10/15/9/15/5,0,game.feedback.good/bad で行動の正否を提示する; キャラ/モチーフを game.draw.sprite で描く; 背景に game.draw.gradient を使う(黒一色回避)
12,012-flash-recall.js,flash-recall,1,一瞬の記憶,チカッと光った場所を覚えて再現する挑戦,光ったマスをタップして再現,1ラウンド完璧に  失敗: 1つ間違える or 20秒,197,,,memory_sequence,high,override,20,1,3,1800,3,se_failure se_success se_tap,bgm_main,false,false,false,,false,false,false,false,false,false,REPEAT THE FLASH,29,16,true,false,ハッキング端末。点灯したメモリセルの並びを記憶して再入力する。,true,true,true,true,true,74,20/10/15/9/15/5,0,game.feedback.good/bad で行動の正否を提示する; キャラ/モチーフを game.draw.sprite で描く; 背景に game.draw.gradient を使う(黒一色回避)
13,013-fill-stop.js,fill-stop,1,注ぎ止め,こぼれる寸前で止める最後の一秒,画面をタップして液体を止める（適切な量で止めると成功）,1回ちょうどよい量で止める  失敗: こぼれる or 空で止める,164,,,timing_one_shot,high,override,25,1,2,1800,3,se_failure se_success se_tap,bgm_main,false,false,false,,false,false,false,false,false,false,TAP TO STOP IN THE ZONE,28,23,true,false,酒場のバーカウンター。グラスをちょうど良い量で注ぎ止める。,true,true,true,true,true,74,20/10/15/9/15/5,0,game.feedback.good/bad で行動の正否を提示する; キャラ/モチーフを game.draw.sprite で描く; 背景に game.draw.gradient を使う(黒一色回避)
